Date,Open,High,Low,Close,Adj Close,Volume
1990-03-01,0.000000,0.091146,0.077257,0.081597,0.056627,624528000
1990-04-01,0.078993,0.084201,0.074653,0.082465,0.057230,279244800
1990-05-01,0.084201,0.089410,0.080729,0.085938,0.059640,524188800
1990-06-01,0.085938,0.098090,0.085069,0.092014,0.063856,793440000
1990-07-01,0.092014,0.105035,0.082465,0.088542,0.061447,618076800
1990-08-01,0.088542,0.088542,0.076389,0.085938,0.059640,844185600
1990-09-01,0.085938,0.093750,0.075521,0.078125,0.054218,1059264000
1990-10-01,0.078125,0.111111,0.068576,0.102431,0.071086,1833552000
1990-11-01,0.100694,0.138889,0.099826,0.137153,0.095182,2387836800
1990-12-01,0.138889,0.157118,0.137153,0.155816,0.108134,1528588800
1991-01-01,0.155382,0.206597,0.136285,0.203125,0.140966,2360880000
1991-02-01,0.203125,0.210938,0.183160,0.194444,0.134941,3560745600
1991-03-01,0.195313,0.210938,0.163194,0.169271,0.117472,3855052800
1991-04-01,0.166667,0.227431,0.145833,0.206597,0.143375,2835633600
1991-05-01,0.201389,0.234375,0.192708,0.223958,0.155424,1916942400
1991-06-01,0.223958,0.251736,0.203125,0.211806,0.146990,1364716800
1991-07-01,0.217014,0.274306,0.213542,0.272569,0.189159,1334073600
1991-08-01,0.272569,0.322917,0.267361,0.315104,0.218678,2068747200
1991-09-01,0.310764,0.317708,0.272569,0.284722,0.197593,1410811200
1991-10-01,0.288194,0.343750,0.258681,0.338542,0.234943,2126188800
1991-11-01,0.338542,0.383681,0.324653,0.343750,0.238558,1539806400
1991-12-01,0.340278,0.473958,0.336806,0.460069,0.319281,1631577600
1992-01-01,0.454861,0.538194,0.447917,0.521701,0.362053,2406182400
1992-02-01,0.524306,0.605903,0.522569,0.565972,0.392777,1983672000
1992-03-01,0.565972,0.597222,0.536458,0.548611,0.380728,1376488800
1992-04-01,0.538194,0.583333,0.458333,0.506944,0.351812,1538690400
1992-05-01,0.510417,0.635417,0.506944,0.635417,0.440970,1582020000
1992-06-01,0.628472,0.673611,0.593750,0.652778,0.453019,1493503200
1992-07-01,0.652778,0.746528,0.614583,0.741319,0.514465,1371398400
1992-08-01,0.739583,0.746528,0.614583,0.651042,0.451814,1504612800
1992-09-01,0.649306,0.781250,0.649306,0.734375,0.509646,1446451200
1992-10-01,0.736111,0.854167,0.666667,0.833333,0.578321,1447120800
1992-11-01,0.840278,1.062500,0.833333,1.038194,0.720492,1970596800
1992-12-01,1.032986,1.121528,0.954861,1.092014,0.757842,1755698400
1993-01-01,1.093750,1.315972,1.059028,1.229167,0.853025,1898136000
1993-02-01,1.239583,1.309028,1.069444,1.218750,0.845795,2421964800
1993-03-01,1.215278,1.340278,1.125000,1.243056,0.862663,2025608400
1993-04-01,1.250000,1.291667,1.076389,1.145833,0.795192,1195513200
1993-05-01,1.138889,1.562500,1.111111,1.500000,1.040979,1731826800
1993-06-01,1.506944,1.590278,1.361111,1.520833,1.055437,1196928000
1993-07-01,1.506944,1.583333,1.312500,1.440972,1.000015,1234281600
1993-08-01,1.437500,1.645833,1.312500,1.326389,0.920495,2216275200
1993-09-01,1.312500,1.506944,1.118056,1.388889,0.963869,2873559600
1993-10-01,1.381944,1.451389,1.236111,1.423611,0.987966,1661670000
1993-11-01,1.430556,1.618056,1.357639,1.562500,1.084353,1763553600
1993-12-01,1.569444,1.826389,1.562500,1.795139,1.245801,1634274000
1994-01-01,1.791667,2.013889,1.756944,2.013889,1.397611,1359061200
1994-02-01,2.013889,2.107639,1.944444,2.048611,1.421707,1372345200
1994-03-01,2.069444,2.263889,1.722222,1.902778,1.320501,1845878400
1994-04-01,1.833333,2.000000,1.555556,1.684028,1.168692,1519173000
1994-05-01,1.704861,1.888889,1.201389,1.375000,0.954231,2831634000
1994-06-01,1.381944,1.423611,1.131944,1.298611,0.901218,1335670200
1994-07-01,1.319444,1.381944,1.041667,1.166667,0.809651,1951124400
1994-08-01,1.194444,1.479167,1.131944,1.378472,0.956640,1959174000
1994-09-01,1.361111,1.534722,1.312500,1.520833,1.055437,1389414600
1994-10-01,1.520833,1.694444,1.416667,1.673611,1.161462,1607736600
1994-11-01,1.666667,1.923611,1.652778,1.791667,1.243392,1722767400
1994-12-01,1.777778,2.010417,1.645833,1.951389,1.354236,1101767400
1995-01-01,1.944444,2.083333,1.798611,1.854167,1.286766,1131670800
1995-02-01,1.868056,2.107639,1.812500,1.875000,1.301224,1417438800
1995-03-01,1.861111,2.215278,1.826389,2.118056,1.469901,1613448000
1995-04-01,2.104167,2.284722,2.048611,2.215278,1.537372,1295299800
1995-05-01,2.208333,2.673611,2.166667,2.430556,1.686772,1614682800
1995-06-01,2.444444,2.923611,2.430556,2.809028,1.949426,1147854600
1995-07-01,2.812500,3.263889,2.652778,3.097222,2.149429,1387785600
1995-08-01,3.111111,3.722222,2.847222,3.645833,2.530157,2084468400
1995-09-01,3.631944,4.104167,3.590278,3.833333,2.660280,1438624800
1995-10-01,3.833333,4.520833,3.388889,4.305556,2.987995,2000775600
1995-11-01,4.298611,4.965278,4.194444,4.673611,3.243420,2141733600
1995-12-01,4.756944,4.763889,3.861111,4.145833,2.877150,2181351600
1996-01-01,4.138889,4.680556,3.548611,4.625000,3.209685,2665258200
1996-02-01,4.625000,5.666667,4.611111,5.277778,3.662704,1771526700
1996-03-01,5.222222,5.472222,4.500000,5.152778,3.575956,1627307100
1996-04-01,5.180556,5.833333,4.861111,5.763889,4.000059,1454352300
1996-05-01,5.763889,6.430556,5.555556,6.083333,4.221747,1283464800
1996-06-01,6.083333,6.402778,5.527778,6.291667,4.366328,1023753600
1996-07-01,6.305556,6.569444,4.972222,5.750000,3.990419,1933807500
1996-08-01,5.805556,6.597222,5.777778,5.861111,4.067529,1256923800
1996-09-01,5.777778,7.222222,5.666667,6.895833,4.785611,1212792300
1996-10-01,6.875000,7.444444,6.375000,6.875000,4.771154,1503506700
1996-11-01,6.944444,7.611111,6.583333,7.541667,5.233811,1215986400
1996-12-01,7.555556,7.680556,6.888889,7.069444,4.906096,1084011300
1997-01-01,7.069444,8.416667,6.916667,7.750000,5.378392,1548228600
1997-02-01,7.847222,7.944444,5.986111,6.180556,4.289219,2846935800
1997-03-01,6.097222,6.402778,5.104167,5.347222,3.710897,2910160800
1997-04-01,5.166667,6.250000,5.027778,5.750000,3.990419,2643107400
1997-05-01,5.777778,7.791667,5.722222,7.527778,5.224174,2663511300
1997-06-01,7.597222,7.972222,6.944444,7.458333,5.175978,1649209500
1997-07-01,7.500000,8.993056,7.500000,8.840278,6.135028,1382307300
1997-08-01,8.840278,9.250000,8.111111,8.375000,5.812133,1410939000
1997-09-01,8.444444,8.777778,7.722222,8.118056,5.633819,1320131700
1997-10-01,8.166667,9.472222,7.569444,9.114583,6.325391,1940232600
1997-11-01,9.215278,9.645833,8.486111,9.583333,6.650699,1254897000
1997-12-01,9.694444,10.097222,7.944444,9.291667,6.448286,2113333800
1998-01-01,9.437500,10.791667,8.583333,10.510417,7.294081,1282155600
1998-02-01,10.822917,11.416667,10.354167,10.979167,7.619387,1077183600
1998-03-01,11.145833,11.666667,10.000000,11.395833,7.908548,1241974200
1998-04-01,11.447917,12.458333,11.010417,12.208333,8.472410,967026000
1998-05-01,12.291667,13.583333,12.197917,12.604167,8.747120,901249800
1998-06-01,12.625000,15.708333,12.156250,15.343750,10.648347,1233312600
1998-07-01,15.572917,17.416668,15.083333,15.958333,11.074860,1270856400
1998-08-01,16.020832,17.541668,13.583333,13.645833,9.470015,1876048800
1998-09-01,14.041667,17.058594,13.645833,15.453125,10.724253,1683170400
1998-10-01,15.031250,15.937500,10.281250,15.750000,10.930280,2174566400
1998-11-01,15.953125,20.093750,15.609375,18.843750,13.077296,1087001200
1998-12-01,18.531250,24.437500,18.468750,23.203125,16.102642,1214291600
